Case,Sample,Alteration,HoleId,East,North,Depth
1,C001555,silf,DDH-CC-05,3087.8,30342.0,1165.7
2,C001556,x,DDH-CC-05,3086.8,30341.5,1164.1
3,C001557,x,DDH-CC-05,3085.8,30340.9,1162.5
4,C001558,x,DDH-CC-05,3084.8,30340.4,1160.9
5,C001559,silf,DDH-CC-05,3083.8,30339.7,1159.1
6,C001560,silf,DDH-CC-05,3082.5,30339.0,1157.0
7,C001561,silf,DDH-CC-05,3081.4,30338.4,1155.2
8,C001562,silf,DDH-CC-05,3080.7,30337.9,1154.0
9,C001563,silf,DDH-CC-05,3079.8,30337.5,1152.6
10,C001564,silf,DDH-CC-05,3078.8,30336.9,1151.0
11,C001565,silf,DDH-CC-05,3077.9,30336.3,1149.4
12,C001566,silf,DDH-CC-05,3076.8,30335.7,1147.6
13,C001567,silf,DDH-CC-05,3075.9,30335.2,1146.1
14,C001568,silf,DDH-CC-05,3074.9,30334.6,1144.4
15,C001569,silf,DDH-CC-05,3073.9,30334.0,1142.8
16,C001570,silf,DDH-CC-05,3072.9,30333.4,1141.1
17,C001571,silx,DDH-CC-05,3071.9,30332.9,1139.5
18,C001572,silx,DDH-CC-05,3071.3,30332.5,1138.5
19,C001573,silf,DDH-CC-05,3070.5,30332.1,1137.3
20,C001574,silf,DDH-CC-05,3069.9,30331.7,1136.2
21,C001575,silx,DDH-CC-05,3068.9,30331.2,1134.6
22,C001576,silx,DDH-CC-05,3067.9,30330.6,1133.0
23,C001577,silx,DDH-CC-05,3066.9,30330.0,1131.3
24,C001578,silx,DDH-CC-05,3065.9,30329.4,1129.7
25,C001579,silx,DDH-CC-05,3065.1,30329.0,1128.3
26,C001580,silf,DDH-CC-05,3064.1,30328.3,1126.6
27,C001581,silf,DDH-CC-05,3062.9,30327.7,1124.8
28,C001582,silf,DDH-CC-05,3062.0,30327.1,1123.1
29,C001583,silf,DDH-CC-05,3061.0,30326.6,1121.5
30,C001584,silf,DDH-CC-05,3060.0,30326.0,1119.9
31,C001585,silf,DDH-CC-05,3059.0,30325.4,1118.2
